descripcion_conducta;armas_medios;barrios_hecho;fecha_hecho;hora_hecho;edad;sexo;movil_victima;movil_agresor;clase_sitio;articulo;delito_solo;curso_vida;curso_vida_orden;mes_num;dia_num;rango_horario;rango_horario_orden;dia_nombre;dia_nombre_orden;localidad;num_com;nom_com;cantidad_unica;año_num;tipología
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;SAN RAFAEL;3/08/2016;9:40:00;27;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;25-29;5;8;3;9:00-9:59;9;miércoles;3;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;LA SALLE;26/10/2016;12:50:00;19;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;10;26;12:00-12:59;12;miércoles;3;06. LA CONCORDIA;6;LA CONCORDIA;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;NARIÑO;3/11/2016;13:55:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;11;3;13:00-13:59;13;jueves;4;04. OCCIDENTAL;4;OCCIDENTAL;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;CABECERA DEL LLANO;14/11/2016;15:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;11;14;15:00-15:59;15;lunes;1;12. CABECERA DEL LLANO;12;CABECERA DEL LLANO;1;2016;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;GARCÍA ROVIRA;18/10/2017;0:36:00;28;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;25-29;5;10;18;0:00-0:59;0;miércoles;3;15. CENTRO;15;CENTRO;1;2017;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;BOSQUE NORTE;2/11/2017;12:35:00;21;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;11;2;12:00-12:59;12;jueves;4;02. NORORIENTAL;2;NORORIENTAL;1;2017;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;MEJORAS PÚBLICAS;28/02/2018;21:30:00;24;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;2;28;21:00-21:59;21;miércoles;3;13. ORIENTAL;13;ORIENTAL;1;2018;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;BUENOS AIRES;13/04/2018;16:20:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;4;13;16:00-16:59;16;viernes;5;14. MORRORICO;14;MORRORICO;1;2018;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;BUCARAMANGA;29/06/2018;11:00:00;23;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;6;29;11:00-11:59;11;viernes;5;08. SUROCCIDENTE;8;SUROCCIDENTE;1;2018;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;INMACULADA;30/06/2018;15:15:00;26;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;25-29;5;6;30;15:00-15:59;15;sábado;6;04. OCCIDENTAL;4;OCCIDENTAL;1;2018;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;ESPERANZA II;29/12/2018;7:40:00;25;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;25-29;5;12;29;7:00-7:59;7;sábado;6;02. NORORIENTAL;2;NORORIENTAL;1;2018;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;LA JOYA;15/05/2019;10:30:00;20;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;20-24;4;5;15;10:00-10:59;10;miércoles;3;05. GARCIA ROVIRA;5;GARCIA ROVIRA;1;2019;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;SAN FRANCISCO;25/08/2019;11:00:00;18;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;8;25;11:00-11:59;11;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2019;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;SAN FRANCISCO;17/11/2019;4:00:00;19;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;11;17;4:00-4:59;4;domingo;7;03. SAN FRANCISCO;3;SAN FRANCISCO;1;2019;DELITOS CONTRA EL PATRIMONIO ECONOMICO
ARTÍCULO 239. HURTO PERSONAS;ARMA BLANCA / CORTOPUNZANTE;LA SALLE;29/01/2020;20:10:00;15;MASCULINO;A PIE;A PIE;VIAS PUBLICAS;ARTÍCULO 239;HURTO PERSONAS;15-19;3;1;29;20:00-20:59;20;miércoles;3;06. LA CONCORDIA;6;LA CONCORDIA;1;2020;DELITOS CONTRA EL PATRIMONIO ECONOMICO
